recon_date,trade_id,symbol,account,break_type,severity,internal_value,broker_value,notional_impact,resolved
2026-02-05,TRD_0003741,MSFT,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4721 @ 761.1600,NOT FOUND,3593436.36,False
2026-02-05,TRD_0018921,NVDA,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4589 @ 773.9100,NOT FOUND,3551472.99,False
2026-02-05,BRK_ONLY_93,MSFT,ACCT_HEDGE,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4963 @ 712.1800,3534549.34,False
2026-02-05,BRK_ONLY_77,QQQ,ACCT_ARB,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 4817 @ 733.4400,3532980.48,False
2026-02-05,TRD_0041241,TSLA,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4492 @ 784.2200,NOT FOUND,3522716.24,False
2026-02-05,TRD_0016643,GOOGL,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4682 @ 738.5700,NOT FOUND,3457984.74,False
2026-02-05,TRD_0025165,AAPL,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4408 @ 778.5600,NOT FOUND,3431892.48,False
2026-02-05,TRD_0041921,INTC,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4320 @ 791.1400,NOT FOUND,3417724.8,False
2026-02-05,TRD_0021020,TSLA,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4380 @ 779.8200,NOT FOUND,3415611.6,False
2026-02-05,TRD_0028695,AMZN,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4906 @ 695.5900,NOT FOUND,3412564.54,False
2026-02-05,BRK_ONLY_81,QQQ,ACCT_FLOW,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 4587 @ 716.3800,3286035.06,False
2026-02-05,TRD_0041947,QQQ,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4857 @ 667.0200,NOT FOUND,3239716.14,False
2026-02-05,BRK_ONLY_39,QQQ,ACCT_MAIN,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 4653 @ 695.8200,3237650.46,False
2026-02-05,TRD_0039351,TSLA,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4352 @ 743.7000,NOT FOUND,3236582.4,False
2026-02-05,TRD_0021680,INTC,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4738 @ 681.9600,NOT FOUND,3231126.48,False
2026-02-05,TRD_0038291,INTC,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4441 @ 713.2500,NOT FOUND,3167543.25,False
2026-02-05,TRD_0023922,SPY,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4417 @ 709.5900,NOT FOUND,3134259.03,False
2026-02-05,BRK_ONLY_3,AAPL,ACCT_HEDGE,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 4959 @ 631.5700,3131955.63,False
2026-02-05,BRK_ONLY_49,AAPL,ACCT_ARB,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4437 @ 702.3000,3116105.1,False
2026-02-05,TRD_0010378,AMZN,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4041 @ 770.4200,NOT FOUND,3113267.22,False
2026-02-05,TRD_0033222,GOOGL,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4006 @ 774.5800,NOT FOUND,3102967.48,False
2026-02-05,BRK_ONLY_129,SPY,ACCT_FLOW,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4606 @ 670.4800,3088230.88,False
2026-02-05,TRD_0027470,INTC,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4194 @ 735.0000,NOT FOUND,3082590.0,False
2026-02-05,BRK_ONLY_160,AMD,ACCT_FLOW,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4663 @ 659.8800,3077020.44,False
2026-02-05,TRD_0008539,SPY,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 3992 @ 766.9300,NOT FOUND,3061584.56,False
2026-02-05,TRD_0040103,MSFT,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4992 @ 610.2900,NOT FOUND,3046567.68,False
2026-02-05,TRD_0014939,AAPL,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4782 @ 633.8500,NOT FOUND,3031070.7,False
2026-02-05,TRD_0026180,MSFT,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 3885 @ 776.2200,NOT FOUND,3015614.7,False
2026-02-05,TRD_0048936,SPY,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 3816 @ 789.4400,NOT FOUND,3012503.04,False
2026-02-05,TRD_0005005,TSLA,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4778 @ 625.6000,NOT FOUND,2989116.8,False
2026-02-05,TRD_0026863,AMD,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4268 @ 700.3000,NOT FOUND,2988880.4,False
2026-02-05,TRD_0003319,NVDA,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 3685 @ 799.0400,NOT FOUND,2944462.4,False
2026-02-05,BRK_ONLY_128,AMD,ACCT_MAIN,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4672 @ 623.7200,2914019.84,False
2026-02-05,TRD_0004554,NVDA,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4675 @ 617.1100,NOT FOUND,2884989.25,False
2026-02-05,TRD_0032954,AMD,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4524 @ 632.8700,NOT FOUND,2863103.88,False
2026-02-05,BRK_ONLY_22,QQQ,ACCT_ARB,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4753 @ 600.0600,2852085.18,False
2026-02-05,TRD_0043260,GOOGL,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4543 @ 622.2400,NOT FOUND,2826836.32,False
2026-02-05,TRD_0010880,AAPL,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4395 @ 642.2500,NOT FOUND,2822688.75,False
2026-02-05,BRK_ONLY_72,INTC,ACCT_HEDGE,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 3902 @ 718.8200,2804835.64,False
2026-02-05,TRD_0038167,QQQ,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 3538 @ 789.3000,NOT FOUND,2792543.4,False
2026-02-05,TRD_0047131,GOOGL,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 3698 @ 754.7400,NOT FOUND,2791028.52,False
2026-02-05,BRK_ONLY_229,MSFT,ACCT_ARB,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 3630 @ 760.0600,2759017.8,False
2026-02-05,TRD_0014293,NVDA,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 3827 @ 714.3000,NOT FOUND,2733626.1,False
2026-02-05,BRK_ONLY_13,SPY,ACCT_HEDGE,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4243 @ 639.8500,2714883.55,False
2026-02-05,TRD_0014664,NVDA,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4108 @ 657.3500,NOT FOUND,2700393.8,False
2026-02-05,TRD_0013510,NVDA,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4801 @ 559.2800,NOT FOUND,2685103.28,False
2026-02-05,TRD_0025338,SPY,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4073 @ 658.1700,NOT FOUND,2680726.41,False
2026-02-05,TRD_0049095,INTC,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 3902 @ 676.7900,NOT FOUND,2640834.58,False
2026-02-05,TRD_0042775,SPY,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 3655 @ 721.1200,NOT FOUND,2635693.6,False
2026-02-05,BRK_ONLY_54,AMD,ACCT_HEDGE,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4977 @ 529.2300,2633977.71,False
2026-02-05,TRD_0044330,INTC,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4761 @ 553.1000,NOT FOUND,2633309.1,False
2026-02-05,TRD_0034346,AMD,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4407 @ 593.6300,NOT FOUND,2616127.41,False
2026-02-05,BRK_ONLY_235,INTC,ACCT_MAIN,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4377 @ 594.4800,2602038.96,False
2026-02-05,TRD_0012080,SPY,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4984 @ 516.5700,NOT FOUND,2574584.88,False
2026-02-05,TRD_0046032,INTC,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4583 @ 561.2000,NOT FOUND,2571979.6,False
2026-02-05,BRK_ONLY_114,SPY,ACCT_ARB,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 3586 @ 716.0700,2567827.02,False
2026-02-05,BRK_ONLY_62,SPY,ACCT_ARB,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4952 @ 511.0000,2530472.0,False
2026-02-05,TRD_0004885,SPY,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4924 @ 513.0800,NOT FOUND,2526405.92,False
