recon_id,recon_date,trade_id,symbol,account,break_type,severity,internal_value,broker_value,notional_impact,resolved,resolved_at,notes,created_at
14767,2026-02-01,TRD_0009471,AMD,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4751 @ 777.0600,NOT FOUND,3691812.06,False,,,2026-02-02 19:56:25.137959
15159,2026-02-01,BRK_ONLY_142,QQQ,ACCT_HEDGE,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4783 @ 767.4200,3670569.86,False,,,2026-02-02 19:56:25.137959
14830,2026-02-01,TRD_0021789,AMD,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4774 @ 765.3500,NOT FOUND,3653780.9,False,,,2026-02-02 19:56:25.137959
14599,2026-02-01,TRD_0029780,SPY,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4745 @ 758.5000,NOT FOUND,3599082.5,False,,,2026-02-02 19:56:25.137959
14604,2026-02-01,TRD_0031058,INTC,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4871 @ 732.7300,NOT FOUND,3569127.83,False,,,2026-02-02 19:56:25.137959
14565,2026-02-01,TRD_0022892,AMD,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4682 @ 757.7300,NOT FOUND,3547691.86,False,,,2026-02-02 19:56:25.137959
14965,2026-02-01,TRD_0049941,TSLA,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4985 @ 708.5400,NOT FOUND,3532071.9,False,,,2026-02-02 19:56:25.137959
14846,2026-02-01,TRD_0026523,MSFT,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4431 @ 790.6200,NOT FOUND,3503237.22,False,,,2026-02-02 19:56:25.137959
15045,2026-02-01,BRK_ONLY_135,INTC,ACCT_FLOW,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 4474 @ 751.7500,3363329.5,False,,,2026-02-02 19:56:25.137959
14803,2026-02-01,TRD_0015844,MSFT,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4268 @ 786.3100,NOT FOUND,3355971.08,False,,,2026-02-02 19:56:25.137959
15022,2026-02-01,BRK_ONLY_100,AMZN,ACCT_FLOW,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4745 @ 699.4700,3318985.15,False,,,2026-02-02 19:56:25.137959
15015,2026-02-01,BRK_ONLY_89,TSLA,ACCT_HEDGE,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 4874 @ 675.5700,3292728.18,False,,,2026-02-02 19:56:25.137959
15082,2026-02-01,BRK_ONLY_213,AMD,ACCT_FLOW,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4672 @ 701.7100,3278389.12,False,,,2026-02-02 19:56:25.137959
