recon_id,recon_date,trade_id,symbol,account,break_type,severity,internal_value,broker_value,notional_impact,resolved,resolved_at,notes,created_at
20771,2026-02-03,TRD_0042345,NVDA,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4924 @ 782.8600,NOT FOUND,3854802.64,False,,,2026-02-05 00:30:13.927874
20573,2026-02-03,TRD_0023016,SPY,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4992 @ 740.7700,NOT FOUND,3697923.84,False,,,2026-02-05 00:30:13.927874
20857,2026-02-03,BRK_ONLY_15,NVDA,ACCT_FLOW,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4983 @ 722.4700,3600068.01,False,,,2026-02-05 00:30:13.927874
20359,2026-02-03,TRD_0001805,AAPL,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4650 @ 760.4900,NOT FOUND,3536278.5,False,,,2026-02-05 00:30:13.927874
20366,2026-02-03,TRD_0002237,SPY,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4731 @ 743.8900,NOT FOUND,3519343.59,False,,,2026-02-05 00:30:13.927874
20977,2026-02-03,BRK_ONLY_135,AMZN,ACCT_MAIN,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4466 @ 787.9500,3518984.7,False,,,2026-02-05 00:30:13.927874
20356,2026-02-03,TRD_0001623,GOOGL,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4406 @ 779.5000,NOT FOUND,3434477.0,False,,,2026-02-05 00:30:13.927874
20411,2026-02-03,TRD_0007249,AAPL,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4554 @ 740.9400,NOT FOUND,3374240.76,False,,,2026-02-05 00:30:13.927874
20371,2026-02-03,TRD_0003147,AAPL,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4289 @ 781.9000,NOT FOUND,3353569.1,False,,,2026-02-05 00:30:13.927874
20680,2026-02-03,TRD_0032100,AMZN,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4702 @ 712.2100,NOT FOUND,3348811.42,False,,,2026-02-05 00:30:13.927874
20613,2026-02-03,TRD_0026970,SPY,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4867 @ 680.6400,NOT FOUND,3312674.88,False,,,2026-02-05 00:30:13.927874
20603,2026-02-03,TRD_0026063,AAPL,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4201 @ 775.7900,NOT FOUND,3259093.79,False,,,2026-02-05 00:30:13.927874
20818,2026-02-03,TRD_0047158,AMD,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4258 @ 744.7100,NOT FOUND,3170975.18,False,,,2026-02-05 00:30:13.927874
20592,2026-02-03,TRD_0024651,INTC,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4382 @ 713.2400,NOT FOUND,3125417.68,False,,,2026-02-05 00:30:13.927874
