pnl_id,pnl_date,account,strategy,symbol,realized_pnl,unrealized_pnl,total_pnl,fees_total,trade_count,created_at
738,2026-02-05,ACCT_HEDGE,LiquidityProv,QQQ,60946217.7,0.0,60946217.7,2483.93,308,2026-02-05 00:34:13.253833
689,2026-02-05,ACCT_FLOW,DeltaNeutral,SPY,54489965.33,0.0,54489965.33,2436.02,301,2026-02-05 00:34:13.253833
774,2026-02-05,ACCT_MAIN,LiquidityProv,GOOGL,50592306.21,0.0,50592306.21,2384.82,318,2026-02-05 00:34:13.253833
647,2026-02-05,ACCT_ARB,DeltaNeutral,NVDA,45879941.54,0.0,45879941.54,2139.42,282,2026-02-05 00:34:13.253833
646,2026-02-05,ACCT_ARB,DeltaNeutral,MSFT,44496300.18,0.0,44496300.18,2633.6,345,2026-02-05 00:34:13.253833
670,2026-02-05,ACCT_ARB,MarketMaking,TSLA,42896770.27,0.0,42896770.27,2272.81,296,2026-02-05 00:34:13.253833
773,2026-02-05,ACCT_MAIN,LiquidityProv,AMZN,42385833.55,0.0,42385833.55,2289.87,295,2026-02-05 00:34:13.253833
660,2026-02-05,ACCT_ARB,LiquidityProv,TSLA,39347801.93,0.0,39347801.93,2579.6,318,2026-02-05 00:34:13.253833
645,2026-02-05,ACCT_ARB,DeltaNeutral,INTC,39313736.46,0.0,39313736.46,2382.13,308,2026-02-05 00:34:13.253833
717,2026-02-05,ACCT_FLOW,StatisticalArb,NVDA,37376823.02,0.0,37376823.02,2473.15,310,2026-02-05 00:34:13.253833
680,2026-02-05,ACCT_ARB,StatisticalArb,TSLA,35828768.18,0.0,35828768.18,2668.82,341,2026-02-05 00:34:13.253833
699,2026-02-05,ACCT_FLOW,LiquidityProv,SPY,34753369.61,0.0,34753369.61,2281.81,296,2026-02-05 00:34:13.253833
682,2026-02-05,ACCT_FLOW,DeltaNeutral,AMD,34564546.95,0.0,34564546.95,2758.63,358,2026-02-05 00:34:13.253833
737,2026-02-05,ACCT_HEDGE,LiquidityProv,NVDA,33026643.41,0.0,33026643.41,2463.81,312,2026-02-05 00:34:13.253833
768,2026-02-05,ACCT_MAIN,DeltaNeutral,QQQ,28575154.18,0.0,28575154.18,2111.26,283,2026-02-05 00:34:13.253833
799,2026-02-05,ACCT_MAIN,StatisticalArb,SPY,26940635.85,0.0,26940635.85,2665.85,327,2026-02-05 00:34:13.253833
755,2026-02-05,ACCT_HEDGE,StatisticalArb,INTC,26852770.04,0.0,26852770.04,2354.85,315,2026-02-05 00:34:13.253833
734,2026-02-05,ACCT_HEDGE,LiquidityProv,GOOGL,26167070.55,0.0,26167070.55,2271.55,302,2026-02-05 00:34:13.253833
778,2026-02-05,ACCT_MAIN,LiquidityProv,QQQ,23804466.85,0.0,23804466.85,2225.08,283,2026-02-05 00:34:13.253833
707,2026-02-05,ACCT_FLOW,MarketMaking,NVDA,22127801.1,0.0,22127801.1,2534.11,318,2026-02-05 00:34:13.253833
675,2026-02-05,ACCT_ARB,StatisticalArb,INTC,21729359.45,0.0,21729359.45,2054.59,257,2026-02-05 00:34:13.253833
671,2026-02-05,ACCT_ARB,StatisticalArb,AAPL,21332649.59,0.0,21332649.59,2260.97,301,2026-02-05 00:34:13.253833
756,2026-02-05,ACCT_HEDGE,StatisticalArb,MSFT,21170563.17,0.0,21170563.17,2563.06,341,2026-02-05 00:34:13.253833
708,2026-02-05,ACCT_FLOW,MarketMaking,QQQ,20719319.61,0.0,20719319.61,2599.23,323,2026-02-05 00:34:13.253833
747,2026-02-05,ACCT_HEDGE,MarketMaking,NVDA,20331057.3,0.0,20331057.3,2612.89,321,2026-02-05 00:34:13.253833
672,2026-02-05,ACCT_ARB,StatisticalArb,AMD,20306932.32,0.0,20306932.32,2345.07,287,2026-02-05 00:34:13.253833
643,2026-02-05,ACCT_ARB,DeltaNeutral,AMZN,19970665.82,0.0,19970665.82,2742.63,340,2026-02-05 00:34:13.253833
724,2026-02-05,ACCT_HEDGE,DeltaNeutral,GOOGL,19581235.53,0.0,19581235.53,2485.36,310,2026-02-05 00:34:13.253833
735,2026-02-05,ACCT_HEDGE,LiquidityProv,INTC,19383572.0,0.0,19383572.0,2499.41,321,2026-02-05 00:34:13.253833
791,2026-02-05,ACCT_MAIN,StatisticalArb,AAPL,18805823.06,0.0,18805823.06,2367.71,300,2026-02-05 00:34:13.253833
730,2026-02-05,ACCT_HEDGE,DeltaNeutral,TSLA,18770027.52,0.0,18770027.52,2170.06,269,2026-02-05 00:34:13.253833
674,2026-02-05,ACCT_ARB,StatisticalArb,GOOGL,18525885.56,0.0,18525885.56,2568.66,319,2026-02-05 00:34:13.253833
679,2026-02-05,ACCT_ARB,StatisticalArb,SPY,17381613.59,0.0,17381613.59,2614.82,336,2026-02-05 00:34:13.253833
710,2026-02-05,ACCT_FLOW,MarketMaking,TSLA,16992503.83,0.0,16992503.83,2818.39,354,2026-02-05 00:34:13.253833
712,2026-02-05,ACCT_FLOW,StatisticalArb,AMD,16349508.85,0.0,16349508.85,2514.45,330,2026-02-05 00:34:13.253833
711,2026-02-05,ACCT_FLOW,StatisticalArb,AAPL,16099348.68,0.0,16099348.68,2216.81,304,2026-02-05 00:34:13.253833
669,2026-02-05,ACCT_ARB,MarketMaking,SPY,15378120.51,0.0,15378120.51,2640.88,322,2026-02-05 00:34:13.253833
719,2026-02-05,ACCT_FLOW,StatisticalArb,SPY,14962903.89,0.0,14962903.89,2235.12,308,2026-02-05 00:34:13.253833
697,2026-02-05,ACCT_FLOW,LiquidityProv,NVDA,14489190.24,0.0,14489190.24,2521.34,326,2026-02-05 00:34:13.253833
700,2026-02-05,ACCT_FLOW,LiquidityProv,TSLA,14099022.94,0.0,14099022.94,2396.94,304,2026-02-05 00:34:13.253833
789,2026-02-05,ACCT_MAIN,MarketMaking,SPY,13450374.65,0.0,13450374.65,2354.37,311,2026-02-05 00:34:13.253833
661,2026-02-05,ACCT_ARB,MarketMaking,AAPL,13377725.27,0.0,13377725.27,2544.01,307,2026-02-05 00:34:13.253833
771,2026-02-05,ACCT_MAIN,LiquidityProv,AAPL,12624204.89,0.0,12624204.89,2584.39,323,2026-02-05 00:34:13.253833
676,2026-02-05,ACCT_ARB,StatisticalArb,MSFT,12309598.41,0.0,12309598.41,2261.76,305,2026-02-05 00:34:13.253833
782,2026-02-05,ACCT_MAIN,MarketMaking,AMD,11721158.52,0.0,11721158.52,2575.3,333,2026-02-05 00:34:13.253833
762,2026-02-05,ACCT_MAIN,DeltaNeutral,AMD,11475542.86,0.0,11475542.86,2660.76,339,2026-02-05 00:34:13.253833
754,2026-02-05,ACCT_HEDGE,StatisticalArb,GOOGL,11219724.3,0.0,11219724.3,2411.26,319,2026-02-05 00:34:13.253833
655,2026-02-05,ACCT_ARB,LiquidityProv,INTC,10641950.93,0.0,10641950.93,2462.2,309,2026-02-05 00:34:13.253833
792,2026-02-05,ACCT_MAIN,StatisticalArb,AMD,10573527.39,0.0,10573527.39,2257.47,304,2026-02-05 00:34:13.253833
664,2026-02-05,ACCT_ARB,MarketMaking,GOOGL,10475223.63,0.0,10475223.63,2373.73,321,2026-02-05 00:34:13.253833
790,2026-02-05,ACCT_MAIN,MarketMaking,TSLA,10297170.85,0.0,10297170.85,2455.88,306,2026-02-05 00:34:13.253833
727,2026-02-05,ACCT_HEDGE,DeltaNeutral,NVDA,10081940.72,0.0,10081940.72,2134.45,264,2026-02-05 00:34:13.253833
667,2026-02-05,ACCT_ARB,MarketMaking,NVDA,9849638.82,0.0,9849638.82,2433.17,323,2026-02-05 00:34:13.253833
718,2026-02-05,ACCT_FLOW,StatisticalArb,QQQ,9635489.08,0.0,9635489.08,2312.35,296,2026-02-05 00:34:13.253833
685,2026-02-05,ACCT_FLOW,DeltaNeutral,INTC,9401758.38,0.0,9401758.38,2578.9,320,2026-02-05 00:34:13.253833
725,2026-02-05,ACCT_HEDGE,DeltaNeutral,INTC,8774047.81,0.0,8774047.81,1984.76,282,2026-02-05 00:34:13.253833
